Methode,Porosität_%,Druchlässigkeit_mD,Tiefe_m,Dichte_API,Viskosität_cP,Temp_C,Sättigung_%
Dampf,30.0,1500.0,365.76,11.0,20000.0,32.22222222222222,60.0
Dampf,30.0,1000.0,365.76,11.5,20000.0,32.22222222222222,60.0
Dampf,27.0,1000.0,274.32,13.0,4000.0,37.77777777777778,55.0
Dampf,22.0,6000.0,198.12,12.0,6400.0,29.444444444444443,66.0
Dampf,32.12439024390244,2016.996875,762.0,12.5,600.0,43.333333333333336,59.590647482014376
Dampf,20.0,200.0,792.48,14.0,500.0,48.888888888888886,49.0
Dampf,32.12439024390244,2016.996875,548.64,16.0,27.7,43.333333333333336,59.590647482014376
Dampf,32.12439024390244,2016.996875,329.184,13.0,3000.0,37.77777777777778,59.590647482014376
Dampf,32.12439024390244,2016.996875,365.76,11.0,8000.0,35.0,59.590647482014376
Dampf,32.12439024390244,2016.996875,396.24,13.0,5000.0,-10.555555555555555,59.590647482014376
Dampf,32.12439024390244,2016.996875,152.4,12.0,10000.0,37.77777777777778,59.590647482014376
Dampf,32.12439024390244,2016.996875,175.26000000000002,13.0,6000.0,29.444444444444443,59.590647482014376
Dampf,32.12439024390244,2016.996875,426.72,13.0,2000.0,37.77777777777778,59.590647482014376
Dampf,32.12439024390244,2016.996875,304.8,13.0,6000.0,43.333333333333336,59.590647482014376
Dampf,32.12439024390244,2016.996875,548.64,18.0,150.0,37.77777777777778,59.590647482014376
Dampf,32.12439024390244,2016.996875,548.64,12.0,700.0,37.77777777777778,59.590647482014376
Dampf,32.12439024390244,2016.996875,487.68,18.0,150.0,37.77777777777778,59.590647482014376
Dampf,32.12439024390244,2016.996875,365.76,13.0,2000.0,35.0,59.590647482014376
Dampf,30.0,1400.0,1005.84,8.0,7000.0,57.22222222222222,68.0
Dampf,35.0,3000.0,335.28000000000003,16.0,145.0,31.11111111111111,59.590647482014376
Dampf,32.0,750.0,1341.12,10.8,2896.0,54.44444444444444,55.0
Dampf,20.0,3.0,304.8,8.0,10000.0,37.77777777777778,59.590647482014376
Dampf,36.0,2400.0,274.32,13.0,1900.0,35.0,75.0
Dampf,31.0,300.0,106.68,15.0,4000.0,37.77777777777778,63.0
Dampf,35.0,1500.0,320.04,12.0,4764.251190476191,26.666666666666664,59.590647482014376
Dampf,31.0,1800.0,502.92,11.0,4764.251190476191,15.555555555555555,59.590647482014376
Dampf,33.0,4000.0,274.32,13.0,8000.0,32.22222222222222,29.0
Dampf,33.0,4000.0,365.76,13.0,8000.0,32.22222222222222,55.0
Dampf,32.0,2500.0,731.52,13.0,4000.0,37.77777777777778,65.0
Dampf,30.0,3000.0,335.28000000000003,11.5,800.0,54.44444444444444,75.0
Dampf,30.0,3000.0,365.76,13.0,30.0,93.33333333333331,45.0
Dampf,31.0,2500.0,274.32,13.0,7000.0,28.88888888888889,70.0
Dampf,30.0,2000.0,914.4,10.0,14000.0,54.44444444444444,59.590647482014376
Dampf,31.0,3000.0,701.0400000000001,8.0,100000.0,37.77777777777778,59.590647482014376
Dampf,31.0,1400.0,762.0,7.0,50025.0,43.333333333333336,59.590647482014376
Dampf,35.0,4500.0,701.0400000000001,8.0,100000.0,43.333333333333336,59.590647482014376
Dampf,31.5,1076.5,795.528,10.4,12506.0,43.333333333333336,59.590647482014376
Dampf,38.0,2000.0,60.96,13.0,20.0,104.44444444444444,70.0
Dampf,37.0,2700.0,289.56,14.0,2340.0,37.77777777777778,58.0
Dampf,35.0,2800.0,304.8,13.0,35.0,104.44444444444444,60.0
Dampf,35.0,2000.0,487.68,12.0,6500.0,32.22222222222222,55.0
Dampf,35.0,2000.0,487.68,12.0,1500.0,32.22222222222222,55.0
Dampf,39.0,2200.0,670.5600000000001,13.0,4500.0,37.77777777777778,58.0
Dampf,35.0,5200.0,579.12,11.0,1600.0,57.22222222222222,52.0
Dampf,33.0,3000.0,396.24,13.0,1500.0,32.22222222222222,60.0
Dampf,33.0,5000.0,289.56,12.0,1500.0,32.22222222222222,60.0
Dampf,40.0,2000.0,121.92,13.0,10.0,121.11111111111111,63.0
Dampf,30.0,3400.0,304.8,13.0,1500.0,32.22222222222222,60.0
Dampf,31.0,2000.0,182.88,13.0,5000.0,25.555555555555557,63.0
Dampf,29.0,2000.0,396.24,12.0,11000.0,30.0,60.0
Dampf,30.0,4500.0,396.24,13.0,4000.0,32.22222222222222,60.0
Dampf,30.0,2500.0,457.2000000000001,12.0,11000.0,30.0,59.590647482014376
Dampf,34.0,3000.0,487.68,11.5,3000.0,43.333333333333336,65.0
Dampf,34.0,3500.0,457.2000000000001,11.5,1000.0,54.44444444444444,62.0
Dampf,34.0,3500.0,487.68,11.5,1000.0,54.44444444444444,65.0
Dampf,31.0,1945.0,609.6,13.0,1800.0,50.0,50.0
Dampf,25.0,100.0,259.08000000000004,25.0,7.6,20.0,55.0
Dampf,33.0,345.0,1249.68,47.0,1.6,59.44444444444444,30.0
Dampf,35.0,900.0,487.68,16.2,107.0,37.77777777777778,50.0
Dampf,33.3,1000.0,609.6,16.2,100.0,35.0,50.0
Dampf,32.0,1500.0,152.4,13.0,1680.0,32.22222222222222,55.0
Dampf,35.5,1436.0,304.8,14.7,665.0,32.22222222222222,53.0
Dampf,34.0,2500.0,396.24,12.0,1500.0,32.22222222222222,60.0
Dampf,31.0,1945.0,609.6,13.0,1800.0,50.0,50.0
Dampf,31.0,4000.0,304.8,13.0,4060.0,32.22222222222222,70.0
Dampf,26.0,400.0,822.96,19.0,24.0,-11.11111111111111,59.590647482014376
Dampf,22.0,25.0,640.08,16.0,200.0,35.0,50.0
Dampf,38.0,4000.0,381.0,13.2,450.0,54.44444444444444,66.0
Dampf,38.0,2500.0,243.84,13.6,450.0,54.44444444444444,63.0
Dampf,37.0,2500.0,234.696,13.6,450.0,54.44444444444444,59.0
Dampf,37.0,2500.0,225.552,13.7,450.0,54.44444444444444,62.0
Dampf,37.0,1500.0,335.28000000000003,11.3,500.0,76.66666666666667,60.0
Dampf,37.0,1500.0,335.28000000000003,11.3,300.0,82.22222222222221,60.0
Dampf,37.0,1500.0,365.76,13.0,700.0,65.55555555555556,55.0
Dampf,36.0,1500.0,259.08000000000004,11.4,1000.0,60.0,60.0
Dampf,24.0,1500.0,304.8,11.3,100.0,104.44444444444444,55.0
Dampf,24.0,1500.0,304.8,11.3,500.0,76.66666666666667,57.0
Dampf,31.0,1146.0,213.36,11.4,10000.0,37.77777777777778,54.0
Dampf,34.5,3700.0,335.28000000000003,11.4,10000.0,43.333333333333336,52.0
Dampf,34.5,3700.0,335.28000000000003,11.4,10000.0,43.333333333333336,57.2
Dampf,34.5,3700.0,335.28000000000003,11.4,10000.0,43.333333333333336,63.4
Dampf,26.0,300.0,579.12,14.0,800.0,41.11111111111111,50.0
Dampf,30.0,578.0,548.64,13.0,900.0,45.55555555555556,50.0
Dampf,27.0,100.0,579.12,12.0,75.0,43.333333333333336,40.0
Dampf,32.0,2500.0,579.12,10.5,1450.0,54.44444444444444,65.0
Dampf,7.5,2.0,1066.8,9.0,20000.0,43.333333333333336,60.0
Dampf,35.0,1550.0,914.4,9.0,580.0,29.444444444444443,65.0
Dampf,35.0,1550.0,914.4,9.0,580.0,29.444444444444443,80.0
Dampf,18.0,500.0,762.0,14.0,580.0,32.22222222222222,67.0
Dampf,25.5,1000.0,243.84,12.0,300.0,37.77777777777778,65.0
Dampf,35.0,2500.0,381.0,13.0,2200.0,37.77777777777778,60.0
Verbrennung,32.0,650.0,121.92,19.0,660.0,46.11111111111111,94.0
Verbrennung,30.0,500.0,320.04,21.0,620.0,26.666666666666664,96.0
Verbrennung,14.0,85.0,3444.24,22.5,6.0,105.0,80.0
Verbrennung,33.9,700.0,114.3,19.0,676.0,23.88888888888889,72.0
Verbrennung,28.0,943.0,1524.0,10.0,1006.0,85.0,65.0
Verbrennung,18.0,135.0,105.918,32.0,10.0,16.11111111111111,40.0
Verbrennung,19.7,320.0,274.32,29.0,35.0,18.33333333333333,78.0
Verbrennung,37.0,750.0,487.68,13.0,750.0,37.77777777777778,86.0
Verbrennung,34.5,3000.0,701.0400000000001,12.0,300.0,54.44444444444444,55.0
Verbrennung,36.0,1500.0,822.96,14.0,110.0,51.66666666666666,99.0
Verbrennung,33.0,2000.0,487.68,14.0,600.0,45.0,89.0
Verbrennung,42.6,1790.0,91.44,15.0,410.0,35.0,63.0
Verbrennung,35.0,1500.0,173.73600000000002,18.0,1200.0,25.555555555555557,70.0
Verbrennung,32.5,300.0,518.1600000000001,11.5,97.0,98.88888888888889,81.1
Verbrennung,38.0,4000.0,152.4,18.0,1200.0,23.88888888888889,59.0
Verbrennung,33.0,960.0,106.68,19.0,675.0,54.44444444444444,60.0
Verbrennung,29.0,300.0,914.4,24.0,20.0,57.22222222222222,74.0
Verbrennung,30.0,725.0,670.5600000000001,16.0,90.0,42.77777777777778,74.0
Verbrennung,37.0,750.0,487.68,13.0,750.0,37.77777777777778,86.0
Kohlendioxid,10.0,5.4,1957.8447,34.0,1.67,34.44444444444444,46.07692307692308
Kohlendioxid,13.0,7.0,1508.76,31.0,1.4,40.55555555555556,46.07692307692308
Kohlendioxid,10.0,4.0,1508.76,31.0,1.4,40.55555555555556,46.07692307692308
Kohlendioxid,9.0,5.0,1554.48,32.0,1.3,43.333333333333336,46.07692307692308
Kohlendioxid,11.5,3.5,1493.52,30.0,2.3,40.55555555555556,74.0
Kohlendioxid,11.8,3.8,1493.52,30.0,2.3,40.55555555555556,43.0
Kohlendioxid,10.5,4.3,1508.76,27.0,2.0,40.55555555555556,61.0
Kohlendioxid,16.0,70.0,1889.76,25.0,3.3,46.11111111111111,59.0
Kohlendioxid,19.0,12.0,579.12,44.0,1.0,37.77777777777778,30.0
Kohlendioxid,19.5,9.0,2743.2000000000003,36.0,0.45,112.77777777777776,34.0
Kohlendioxid,8.4,1.5,1584.96,32.0,1.46,41.66666666666666,46.07692307692308
Kohlendioxid,3.93,19.4,2042.16,41.0,0.35,54.44444444444444,55.0
Kohlendioxid,11.0,2.4,2438.4,41.0,1.2809487179487176,96.11111111111111,46.07692307692308
Kohlendioxid,12.0,14.0,2590.8,43.0,0.45,60.0,71.0
Kohlendioxid,12.0,0.4,2529.84,38.0,0.4,110.0,40.0
Kohlendioxid,30.0,550.0,2474.976,32.0,0.99,83.88888888888889,55.0
Kohlendioxid,9.25,9.0,1490.472,34.0,2.15,35.55555555555556,30.0
Kohlendioxid,13.0,44.0,2865.1200000000003,38.0,1.2,64.44444444444444,46.0
Kohlendioxid,11.0,18.0,1117.092,36.0,0.8,32.22222222222222,46.07692307692308
Kohlendioxid,19.5,121.0,926.592,38.0,1.7,33.888888888888886,46.07692307692308
Kohlendioxid,23.0,64.0,816.864,40.0,1.4,28.33333333333333,46.07692307692308
Kohlendioxid,9.0,20.0,1310.64,29.0,6.0,36.11111111111111,46.07692307692308
